Item Name,Unit,Qunatity Available,Quantity Purcahsed,Qunatity Sold,Qunatity Avaialble for sale,Valuation
"CPVC Reducer 2"",BSP-Brass-MTA",Nos,0.0,2.0,2.0,0.0,0.0
"CPVC SOC 2""",Nos,0.0,4.0,4.0,0.0,0.0
"CPVC SOC1. 1/2""",Nos,0.0,16.0,16.0,0.0,0.0
CPVC SOCKET 20mm,Nos,0.0,10.0,10.0,0.0,0.0
"CPVC SOCKET 20mm/ 3/4"" Brass Female thread",Nos,0.0,11.0,11.0,0.0,0.0
"CPVC SOCKET 25mm/ 1"" Brass Male thread",Nos,0.0,9.0,9.0,0.0,0.0
CPVC SOLVENT  237ML Prince,pcs,0.0,3.0,3.0,0.0,0.0
"CPVC Tank Nipple 1.1/2""",Nos,0.0,5.0,5.0,0.0,0.0
"CPVC Tank Nipple 2""",Nos,0.0,1.0,1.0,0.0,0.0
CPVC Tank Nipple 20 mm,Nos,0.0,7.0,7.0,0.0,0.0
"CPVC Tee  1.1/2""",Nos,0.0,6.0,6.0,0.0,0.0
"CPVC Tee  2""",Nos,0.0,3.0,3.0,0.0,0.0
CPVC Tee  20mm,Nos,1.0,12.0,11.0,1.0,22.0
CPVC Tee  20mm,Nos,1.0,12.0,11.0,1.0,22.0
"CPVC Union 1.1/2"" Prince",Nos,0.0,15.0,15.0,0.0,0.0
CPVC Union 20 mm Prince,Nos,8.0,16.0,8.0,8.0,480.0
"CPVC Union 25 mm/ 1""  Astral",Nos,0.0,8.0,8.0,0.0,0.0
"CR Sheet,2500x1250x1",Kg,24.0,246.3,222.3,24.0,1668.0
"CR Sheet,2500x1250x1.5",Kg,0.0,645.2,645.2,0.0,0.0
"CR Sheet,2500x1250x2",Kg,0.0,1551.6,1551.6,0.0,0.0
"CR Sheet,2500x1250x3",Kg,222.0,7546.0,7324.0,222.0,16095.0
"CR Sheet,2500x1500x1.5",Kg,412.0,2315.0,1903.0,412.0,27604.0
"CR Sheet,2500x1500x2",Kg,655.0,655.0,0.0,655.0,43885.0
CRGO Strip  17 No,Kg,0.0,44.0,44.0,0.0,0.0
CRGO Strip  37 No,Kg,0.0,60.0,60.0,0.0,0.0
CRGO Strip  7 No,Kg,0.0,404.0,404.0,0.0,0.0
CRGO Strip  8 No,Kg,0.0,443.0,443.0,0.0,0.0
CRGO Strip 03 No,Kg,0.0,29.5,29.5,0.0,0.0
CRGO Strip 12 No,Kg,0.0,46.0,46.0,0.0,0.0
CRGO Strip 15 No,Kg,0.0,50.0,50.0,0.0,0.0
CRGO Strip 23 No,Kg,0.0,115.0,115.0,0.0,0.0
CRGO Strip 24 No,Kg,0.0,24.5,24.5,0.0,0.0
CRGO Strip 38 No,Kg,0.0,40.0,40.0,0.0,0.0
CRGO Strip 42 No,Kg,0.0,89.4,89.4,0.0,0.0
CRGO Strip CT 500/1,Kg,0.0,160.0,160.0,0.0,0.0
CRGO Strip E&I,Kg,0.0,235.0,235.0,0.0,0.0
CRGO Strip E&I TYPE 43,Kg,0.0,100.0,100.0,0.0,0.0
CRGO Strip E&I TYPE 8B,Kg,0.0,266.0,266.0,0.0,0.0
CRGO Strip-04 No,Kg,0.0,150.5,150.5,0.0,0.0
CRGO Transformer Lamination  80kV 400kVA  Reactor,Kg,0.0,973.0,973.0,0.0,0.0
CRGO Transformer Lamination 10 kVA DSIT,Kg,0.0,620.0,620.0,0.0,0.0
CRGO Transformer Lamination 100 kV 10 kVA HVT,Kg,0.0,206.0,206.0,0.0,0.0
CRGO Transformer Lamination 100 kV HVT,Kg,0.0,104.0,104.0,0.0,0.0
CRGO Transformer Lamination 12.5 kVA DSIT,Kg,0.0,209.0,209.0,0.0,0.0
CRGO Transformer Lamination 120 kVA DSIT,Kg,0.0,438.5,438.5,0.0,0.0
CRGO Transformer Lamination 120 kVA Exciter Transformer,Kg,0.0,438.5,438.5,0.0,0.0
CRGO Transformer Lamination 15 kVA DSIT,Kg,0.0,296.0,296.0,0.0,0.0
CRGO Transformer Lamination 20 kVA DSIT,Kg,0.0,384.0,384.0,0.0,0.0
CRGO Transformer Lamination 200 kV 10 kVA HVT,Kg,0.0,155.0,155.0,0.0,0.0
CRGO Transformer Lamination 200 kVA SFC,Kg,0.0,908.0,908.0,0.0,0.0
CRGO Transformer Lamination 200 kVA/1.5A Reactor,Kg,0.0,2040.0,2040.0,0.0,0.0
CRGO Transformer Lamination 250 kVA/2A Reactor,Kg,0.0,3336.0,3336.0,0.0,0.0
CRGO Transformer Lamination 30 kVA DSIT,Kg,0.0,344.0,344.0,0.0,0.0
CRGO Transformer Lamination 300 kVA/2 A Reactor,Kg,1688.0,1688.0,0.0,1688.0,641440.0
CRGO Transformer Lamination 350 kV/2A Reactor-Fixed,Kg,0.0,0.0,0.0,0.0,0
CRGO Transformer Lamination 350 kVA/2.5A Reactor,Kg,0.0,9757.0,9757.0,0.0,0.0
CRGO Transformer Lamination 375 kVA/3 A Reactor,Kg,0.0,0.0,0.0,0.0,0
CRGO Transformer Lamination 45 kV 10 kVA HVT,Kg,0.0,599.0,599.0,0.0,0.0
CRGO Transformer Lamination 45 kV 5kVA HVT,Kg,0.0,249.0,249.0,0.0,0.0
CRGO Transformer Lamination 45 kVA Exciter,Kg,0.0,224.0,224.0,0.0,0.0
CRGO Transformer Lamination 45 kVA SFC,Kg,0.0,184.0,184.0,0.0,0.0
CRGO Transformer Lamination 5 kVA,Kg,0.0,101.0,101.0,0.0,0.0
CRGO Transformer Lamination 5 kVA DSIT,Kg,0.0,137.0,137.0,0.0,0.0
CRGO Transformer Lamination 50 kV 30 kVA HVT,Kg,0.0,188.0,188.0,0.0,0.0
CRGO Transformer Lamination 50 kV 30 kVA HVT,Kg,0.0,188.0,188.0,0.0,0.0
CRGO Transformer Lamination 50 kVA 3 Phase,Kg,0.0,215.0,215.0,0.0,0.0
CRGO Transformer Lamination 50 kVA DSIT,Set,209.0,209.0,0.0,209.0,45980.0
CRGO Transformer Lamination 50 kVA Exciter Transformer,Kg,0.0,602.0,602.0,0.0,0.0
CRGO Transformer Lamination 50 kVA SFC,Kg,0.0,188.0,188.0,0.0,0.0
CRGO Transformer Lamination 500 kVA 3 Phase,Kg,0.0,0.0,0.0,0.0,0
Crocodile  Clamps Insulated-Red,Nos,18.0,59.0,41.0,18.0,1476.0
Crocodile Clamps Insulated  -Green,Nos,1.0,9.0,8.0,1.0,65.0
Crocodile Clamps Insulated  -Yellow,Nos,20.0,31.0,11.0,20.0,1500.0
Crocodile Clamps Insulated -Black,Nos,10.0,37.0,27.0,10.0,750.0
Crocodile Clamps Insulated -Blue,Nos,0.0,8.0,8.0,0.0,0.0
Crocodile Hippo Battery Charging  Medium (Black),Nos,0.0,17.0,17.0,0.0,0.0
Crocodile Hippo Battery Charging  Medium (Blue),Nos,0.0,0.0,0.0,0.0,0
Crocodile Hippo Battery Charging crocodile Medium ( Red),Nos,57.0,138.0,81.0,57.0,1645.0
Crocodile Small (Black),Nos,9.0,14.0,5.0,9.0,135.0
"Crompton  Motor Pump Motor 1 X 230VAC, 50Hz, 3/4 HP",Nos,1.0,1.0,0.0,1.0,3262.5
Crompton Mini Samudra i -1HP-Self Prining Monoset Pump (Multicolour) B01LR0GQW2,Nos,0.0,0.0,0.0,0.0,0
Crtron 20Amp 6V-30V DC Motor Driver MD20A,Nos,0.0,4.0,4.0,0.0,0.0
Crystal 16 MHZ,Nos,0.0,100.0,100.0,0.0,0.0
"CSK Screw  1/4X3""",Nos,0.0,340.0,340.0,0.0,0.0
CT (Current Transformer) 100/5A,Nos,2.0,2.0,0.0,2.0,718.0
CT (Current Transformer) 1000/5A,Nos,1.0,2.0,1.0,1.0,842.0
CT (Current Transformer) 150/5A,Nos,3.0,3.0,0.0,3.0,900.0
CT (Current Transformer) 1500/5A,Nos,1.0,1.0,0.0,1.0,725.0
CT (Current Transformer) 200/5A,Nos,2.0,2.0,0.0,2.0,592.0
CT (Current Transformer) 300/5A,Nos,3.0,3.0,0.0,3.0,1220.0
CT (Current Transformer) 50/5A,Nos,0.0,4.0,4.0,0.0,0.0
CT (Current Transformer) 500/1A,Nos,2.0,4.0,2.0,2.0,900.0
"CT 100/5A,SPCT 62/ 30 100/5 A VA 1 CL 1 Selec",Nos,2.0,33.0,31.0,2.0,486.0
"CT 150/5A, PCT301-150/5 A VA 1 CL 3 Autonix",Nos,0.0,1.0,1.0,0.0,0.0
"CT 250/5A,SPCT 62/40 250/5 A VA 1 CL 2.5 Selec",Nos,3.0,15.0,12.0,3.0,566.0
"CT 2500/5A,15VA",Nos,0.0,1.0,1.0,0.0,0.0
CT 2500T-Rosy,Nos,2.0,11.0,9.0,2.0,50.0
"CT 50/5A, PCT301-50/5 A VA 1 CL 3 Autonix",Nos,0.0,2.0,2.0,0.0,0.0
CT Polarity Tester with NABL Calibration Report,Nos,0.0,1.0,1.0,0.0,0.0
"CT Terminal Connector for 33 kV, 500/1",Nos,6.0,6.0,0.0,6.0,6600.0
"CT Terminal Connector for 66 kV , 1500/1",Nos,6.0,6.0,0.0,6.0,6600.0
"CT Terminal Epoxy Multi block M6, 134PCD, 16 Terminal",Nos,18.0,34.0,16.0,18.0,18000.0
"CT,Ratio 2500/1A,Class=0.5,ID=156x70mm",Nos,0.0,1.0,1.0,0.0,0.0
Cuptor(Gasfilling Valve) 12B R134A,Nos,0.0,2.0,2.0,0.0,0.0
Current Amplifier for 106A-L3,Nos,0.0,1.0,1.0,0.0,0.0
Current Comparator Rated Voltage 30 KV,Nos,3.0,9.0,6.0,3.0,1337589.0
Current Isolator,Nos,17.0,48.0,31.0,17.0,70091.0
Current Sensors CURRENT SENSOR ( 300A; 15V),Nos,3.0,3.0,0.0,3.0,3889.56
Current Sensors CURRENT SENSOR ( 300A; 15V),Nos,3.0,3.0,0.0,3.0,3889.56
Current Sensors CURRENT SENSOR ( 35A) WCS1800,Nos,12.0,15.0,3.0,12.0,2340.0
"Current Transducer, LF 1005-S",Nos,9.0,53.0,44.0,9.0,126000.0
"Current Transducer, LF Series, 200A, -420A to 420A, 0.2 %, Closed Loop Output, 12 Vdc to 15 Vdc LF-210-S",Nos,2.0,22.0,20.0,2.0,9000.0
"Current Transducer, LF Series, 500A, -800A to 800A, 0.6 %, Closed Loop Output, 15 Vdc to 24 Vdc LF-510-S",Nos,6.0,35.0,29.0,6.0,35520.0
Current Transformers 2000/1A Resin Cast CT,Nos,2.0,3.0,1.0,2.0,3220.0
Current Transformers 250/5A Resin Cast CT,Nos,1.0,2.0,1.0,1.0,290.0
Current Transformers 2500/5A Resin Cast CT,Nos,0.0,1.0,1.0,0.0,0.0
Current Transformers 500/5A Resin Cast CT,Nos,0.0,2.0,2.0,0.0,0.0
Current Transformers 600/1A  ID-60 VA-15 CL-0.5 Resin Cast,Nos,1.0,7.0,6.0,1.0,866.0
Current Transformers CT1500/1A ID-120 VA-15 CL-0.5 Resin Cast,Nos,4.0,4.0,0.0,4.0,5184.0
Cutter SS H/DY,Nos,0.0,2.0,2.0,0.0,0.0
Cutting Oil SPL Castrol,Ltr,25.0,240.0,215.0,25.0,5720.25
"Cutting Wheel 105X1.2X16mm (4"")",Nos,90.0,4196.0,4106.0,90.0,1800.0
"Cutting Wheel 105X1.2X16mm (4"")-A46",Nos,200.0,200.0,0.0,200.0,4000.0
"Cutting Wheel 125X3X22.23mm (5"")",Nos,45.0,62.0,17.0,45.0,2925.0
"Cutting Wheel 200X1.5X31.75mm (8"")",Nos,31.0,128.0,97.0,31.0,682.0
"Cutting Wheel 355X3X25.4mm (14"")",Nos,12.0,49.0,37.0,12.0,1740.0
"Cutting Wheel-Wood(4"")",Nos,0.0,4.0,4.0,0.0,0.0
CVT 250VA BlueBird,Nos,1.0,2.0,1.0,1.0,4800.0
D Shackle,Nos,0.0,0.0,0.0,0.0,0
D Solwik,Nos,17.0,22.0,5.0,17.0,255.0
"D Sub Backshell Cover (DB15, 15-Pin, 2 Rows Grey Plastic) FemaleJack",Nos,71.0,230.0,159.0,71.0,1278.0
"D Sub Backshell Cover (DB25, 25-Pin, MaleJack, 2 Rows Grey Plastic ) MaleJack",Nos,72.0,89.0,17.0,72.0,762.0
"D Sub Backshell Cover (DB50, 50-Pin, MaleJack, 2 Rows Grey Plastic )",Nos,0.0,22.0,22.0,0.0,0.0
"D Sub Backshell Cover (DB9, 9-Pin, 2 Rows Grey Plastic) FemaleJack",Nos,64.0,132.0,68.0,64.0,848.0
"D Sub Backshell Cover(DB26, 26-Pin, 2 Rows Grey Plastic) FemaleJack",Nos,0.0,19.0,19.0,0.0,0.0
"D Sub Backshell Cover(DB37, 37-Pin, MaleJack, 2 Rows Grey Plastic ) Male",Nos,29.0,66.0,37.0,29.0,1015.0
"D Sub PCB Connector (15-Pin, Female, Sz A Plug Hsng Front Screwlock 4-40) PCB FeMale",Nos,60.0,69.0,9.0,60.0,1620.0
"D Sub PCB Connector (15-Pin, Male, Sz A Plug Hsng Front Screwlock 4-40) PCB Male",Nos,0.0,2.0,2.0,0.0,0.0
"D Sub PCB Connector (37-Pin, Male, Standard Connectors, crimp, RHS tin) PCB Male",Nos,0.0,14.0,14.0,0.0,0.0
"D Sub PCB Connector (9-Pin, Female, Sz A Plug Hsng Front Screwlock 4-40) PCB  Female",Nos,34.0,35.0,1.0,34.0,357.0
"D Type Connector  (15-Pin, Female, 15 Wiremount)",Nos,0.0,167.0,167.0,0.0,0.0
"D Type Connector (15-Pin, Female, 15 Contacts)",Nos,99.0,204.0,105.0,99.0,4455.0
"D Type Connector (15-Pin, Male, 15 Contacts)",Nos,0.0,32.0,32.0,0.0,0.0
"D Type Connector (25-Pin, Female, 25 Contacts)",Nos,0.0,9.0,9.0,0.0,0.0
"D Type Connector (25-Pin, Male, 25 Contacts)",Nos,0.0,4.0,4.0,0.0,0.0
"D Type Connector (26-Pin, Female, 26 Contacts)",Nos,0.0,8.0,8.0,0.0,0.0
"D Type Connector (26-Pin, Male, 26 Contacts)",Nos,0.0,48.0,48.0,0.0,0.0
"D Type Connector (37-Pin, FeMale, 37 Contacts)",Nos,29.0,36.0,7.0,29.0,29678.89
"D Type Connector (37-Pin, Female, 37 PCB Mount)",Nos,9.0,9.0,0.0,9.0,5674.949999999999
"D Type Connector (9-Pin, Female, 9 Contacts)",Nos,0.0,40.0,40.0,0.0,0.0
"D Type Connector (9-Pin, Male, 9 Contacts)",Nos,0.0,5.0,5.0,0.0,0.0
D Type Connector 15 Pin Male,Nos,99.0,323.0,224.0,99.0,3960.0
D Type Connector 25 Pin Female,Nos,38.0,70.0,32.0,38.0,1786.0
D Type Connector 25 Pin Female PCB Mount,Nos,47.0,48.0,1.0,47.0,1504.0
D Type Connector 25 Pin Male,Nos,32.0,39.0,7.0,32.0,1120.0
D Type Connector 25 Pin Male,Nos,32.0,39.0,7.0,32.0,1120.0
D Type Connector 26 Pin Female,Nos,9.0,10.0,1.0,9.0,337.5
D Type Connector 26 Pin Male,Nos,11.0,11.0,0.0,11.0,412.5
D Type Connector 37 Pin Male,Nos,47.0,77.0,30.0,47.0,3525.0
D Type Connector 50 Pin Female,Nos,51.0,51.0,0.0,51.0,6375.0
D Type Connector 50 Pin Male,Nos,2.0,24.0,22.0,2.0,250.0
D Type Connector 9 Pin Female,Nos,58.0,138.0,80.0,58.0,2064.0
D Type Connector 9 Pin Male,Nos,64.0,99.0,35.0,64.0,1990.0
DC Busbar,Nos,1.0,7.0,6.0,1.0,21924.0
"DC DC CONVERTER +/-12V 3W, 	 IP2412S",Nos,0.0,75.0,75.0,0.0,0.0
DC DC CONVERTER 5V 1W NME0505SC,Nos,0.0,100.0,100.0,0.0,0.0
DC DC CONVERTER 5V 6W,Nos,0.0,2.0,2.0,0.0,0.0
"DC Gear Motor 12VDC,108.3 RPM,",Nos,2.0,2.0,0.0,2.0,4580.0
"DC Gear Motor 24VDC,92.8 RPM,",Nos,1.0,3.0,2.0,1.0,1350.0
DC Link Capacitor 1200uF/ 1200V,Nos,52.0,104.0,52.0,52.0,233530.0
DC Link Capacitor 1400uF/900 V,Nos,28.0,40.0,12.0,28.0,106603.0
"DC Motor (MD)12VDC (012), 1.8 RPM,(1R8)",Nos,0.0,3.0,3.0,0.0,0.0
DC Motor 24V 25 W K8DG-25N2,Nos,2.0,18.0,16.0,2.0,6588.0
"DC Motor 24VDC, 33 RPM, Ratio 120:1,",Nos,17.0,36.0,19.0,17.0,34431.0
"DC Motor 24VDC, 6 RPM, Ratio 1080:1,",Nos,0.0,1.0,1.0,0.0,0.0
"DC Motor-Permanent Magnet 180VDC, 746W/1 HP, 1500 RPM",Nos,2.0,9.0,7.0,2.0,21000.0
"DC Motor-Permanent Magnet 24VDC, 25W, 1.9A, 3050 RPM",Nos,1.0,1.0,0.0,1.0,12940.0
"DC Motor-Permanent Magnet 90VDC, 200W, 2.8A, 3300 RPM",Nos,1.0,1.0,0.0,1.0,9100.0
"DC Motor-Permanent Magnet 90VDC, 300W, 4A, 3300 RPM",Nos,1.0,2.0,1.0,1.0,13140.0
"DC Motor-Permanent Magnet 90VDC, 300W, Frame 90x90mm, K9DS-300N3",Nos,1.0,3.0,2.0,1.0,15360.0
"DC Motor-Permanent Magnet,90VDC, 150W, XXA, 3300 RPM, Frame 90x90 mm, K9DP-150N3",Nos,0.0,1.0,1.0,0.0,0.0
"DC Motor-Permanent Magnet,90VDC, 300W, 1.2A, 3300 RPM, Frame 90x90 mm, K9DP-300N3",Nos,3.0,18.0,15.0,3.0,46080.0
"DC Motor-Permanent Magnet,90VDC, 90W, 1.2A, 3300 RPM, Frame 90x90 mm, K9DP-90N3",Nos,0.0,1.0,1.0,0.0,0.0
DC-DC Buck Converter Power Supply -2596,Nos,20.0,73.0,53.0,20.0,1800.0
DC-DC Converter 15V -8.7V 2W,Nos,0.0,325.0,325.0,0.0,0.0
DC-DC Converter 5V  2W IL1205S,Nos,0.0,200.0,200.0,0.0,0.0
DC-DC Converter MEJ2D1212SC,Nos,0.0,0.0,0.0,0.0,0
DC-DC Converter MP 1584,Nos,0.0,10.0,10.0,0.0,0.0
"DCBB,12 Way,,Double Door (2D) KSLS-12,",Nos,0.0,1.0,1.0,0.0,0.0
De Pin Connector,Nos,0.0,7.0,7.0,0.0,0.0
"Desktop Computer Screen, 19.5"" Screen",Nos,0.0,2.0,2.0,0.0,0.0
Desoldering Pump,Nos,4.0,14.0,10.0,4.0,440.0
"DETECTOR, FIBRE OPTIC , H22R880IRSS",Nos,0.0,73.0,73.0,0.0,0.0
Dhaga Ctoyans,Pkt,2.0,5.0,3.0,2.0,480.0
Dhaga-CPVC-Fitting,Pkt,0.0,3.0,3.0,0.0,0.0
DHOTI OLD,Nos,124.0,14650.0,14526.0,124.0,620.0
DHOTI OLD,Nos,124.0,14650.0,14526.0,124.0,620.0
DHOTI WHITE,Nos,247.0,7500.0,7253.0,247.0,2223.0
Dial Knob,Nos,0.0,1.0,1.0,0.0,0.0
Diamond Braid Nylon Rope 3/16 by 100 feet,Nos,5.0,10.0,5.0,5.0,14535.779999999999
"Diamond Cutter(10""x25.4mmx2.5TH)",Nos,0.0,1.0,1.0,0.0,0.0
Diamond Cutter(200x1.5x31.75),Nos,0.0,1.0,1.0,0.0,0.0
"Diamond cutting Blade 14"" Dewat",Nos,0.0,1.0,1.0,0.0,0.0
"Diamond cutting Blade 4""x1.5mm Dewat",Nos,2.0,2.0,0.0,2.0,1300.0
Diamond Dressor 1.5 solar,Nos,0.0,3.0,3.0,0.0,0.0
Diamond Stone,Nos,2.0,2.0,0.0,2.0,680.0
"Diamond Wheel  6""x1.5mm E/G",Nos,0.0,1.0,1.0,0.0,0.0
"Die 1/4"" NPT",Nos,1.0,1.0,0.0,1.0,577.0
"Die 3/8"" NPT",Nos,1.0,1.0,0.0,1.0,678.0
Die Handle 1.1/2 Handle,Nos,2.0,2.0,0.0,2.0,320.0
"Die HSS 1"" BSP",Nos,1.0,1.0,0.0,1.0,877.75
"Die HSS 1"" OD 6x1",Nos,2.0,2.0,0.0,2.0,621.6
"Die HSS 1/2"" BSP",Nos,2.0,2.0,0.0,2.0,1034.4
"Die HSS 1/4"" BSP",Nos,2.0,2.0,0.0,2.0,1034.4
Die M10X1.5 HSS,Nos,2.0,6.0,4.0,2.0,621.6
Die M12X1.5,Nos,0.0,1.0,1.0,0.0,0.0
Die M12X1.75 HSS,Nos,1.0,5.0,4.0,1.0,517.2
Die M14X1.25,Nos,1.0,1.0,0.0,1.0,438.1
Die M16X2,Nos,0.0,3.0,3.0,0.0,0.0
Die M16X2 HSS,Nos,2.0,2.0,0.0,2.0,1724.0
Die M18X2.5 HSS,Nos,1.0,1.0,0.0,1.0,799.0
Die M20X1.5,Nos,0.0,1.0,1.0,0.0,0.0
Die M20X2.5 HSS,Nos,2.0,2.0,0.0,2.0,1034.4
Die M3X0.5 HSS,Nos,2.0,4.0,2.0,2.0,436.8
Die M6X1 HSS,Nos,2.0,2.0,0.0,2.0,621.6
Die M8X1.25 HSS,Nos,2.0,6.0,4.0,2.0,1036.0
Die-Cast 3-Point Lock,Pcs,0.0,16.0,16.0,0.0,0.0
Die-CastPanel Lock With Key Size-35,Pcs,0.0,5.0,5.0,0.0,0.0
Diecast Handle Lock,Nos,0.0,1.0,1.0,0.0,0.0
Diecast Point Lock,Nos,0.0,1.0,1.0,0.0,0.0
Differential Probe TT-SI 9002,Nos,3.0,5.0,2.0,3.0,81000.0
Diffusor 36 KD,Nos,9.0,15.0,6.0,9.0,990.0
Digital AmpMeter(100/5A),Nos,0.0,1.0,1.0,0.0,0.0
Digital Clamp Meter DMM-303 Fluke,Nos,0.0,1.0,1.0,0.0,0.0
Digital Clamp Meter Fluke-362 AC/DC Fluke,Nos,0.0,1.0,1.0,0.0,0.0
Digital Converters 0.5-1 (ADC121S101CIMF),Nos,0.0,5.0,5.0,0.0,0.0
"Digital Current Mete, 1250 / 1A (96X96) AE",Nos,0.0,1.0,1.0,0.0,0.0
Digital Current Meter  0-05A 96X48 mm,Nos,5.0,20.0,15.0,5.0,3483.75
"Digital Isolator 4 CH,2402, Wsoic-16",Nos,0.0,1.0,1.0,0.0,0.0
Digital Isolator 4-CH (ISO7740DWR)-2617091,Nos,0.0,10.0,10.0,0.0,0.0
Digital Isolator 4-CH (ISO7742FDWR)-2617094,Nos,0.0,63.0,63.0,0.0,0.0
Digital Isolator ISOW7840DWE,Nos,0.0,20.0,20.0,0.0,0.0
Digital Multimeter Rishabh max-10,Nos,2.0,8.0,6.0,2.0,3960.0
Digital Oscilloscope Unit TNS1072B,Nos,0.0,1.0,1.0,0.0,0.0
Digital Panel AmpMeter PD 34 VID 200 mA 0-230V AC,Nos,0.0,2.0,2.0,0.0,0.0
"Digital Panel Ampmeter(100/5 A )-Autonix,PD-34",Nos,0.0,1.0,1.0,0.0,0.0
"Digital Panel Ampmeter(100/5 A )-Autonix,PD-34",Nos,0.0,1.0,1.0,0.0,0.0
"Digital Panel Ampmeter(20 A )-Autonix,PD-34",Nos,1.0,1.0,0.0,1.0,500.0
Digital Panel PD34  VID 1000  Voltmeter,Nos,1.0,1.0,0.0,1.0,500.0
Digital Panel PD34 AIA 10 AMP,Nos,0.0,1.0,1.0,0.0,0.0
Digital Panel PD34 AID 200mA,Nos,2.0,3.0,1.0,2.0,1100.0
"Digital Panel Voltmeter,750 V AC  -Autonix,PD 34",Nos,1.0,1.0,0.0,1.0,500.0
"Digital Panel Voltmetermeter(150-200 V )-Autonix,PD 34",Nos,0.0,2.0,2.0,0.0,0.0
Digital SMD Rework Station SIRON-858D,Pcs,0.0,1.0,1.0,0.0,0.0
Digital Timer XT246 Selec,Nos,0.0,1.0,1.0,0.0,0.0
Digital Varnier Caliper 200 mm Mitotoyo,Nos,0.0,1.0,1.0,0.0,0.0
"Digital Vernier Caliper 8"" Mitutoyo",Nos,1.0,1.0,0.0,1.0,8580.0
"Digital Volt Meter  0-500 VAC,96x48 mm",Nos,5.0,23.0,18.0,5.0,3483.75
"DILM150-XHI22 - Auxiliary contact module, 4 pole, Ith= 16 A, 2 N/O, 2 NC, Front fixing, Screw terminals, DILM40 - DILM170",Nos,0.0,2.0,2.0,0.0,0.0
Dim-21,Nos,29.0,56.0,27.0,29.0,464.0
"Dimand Wheel 200X13X31.75 (8"")",Nos,1.0,1.0,0.0,1.0,3500.0
"Dimmer  Dot Variable Voltage Auto Transformer 240/0-270V,4A",Nos,0.0,1.0,1.0,0.0,0.0
"Dimmer  Dot Variable Voltage Auto Transformer 415/0-450V,150A",Nos,0.0,2.0,2.0,0.0,0.0
"Dimmer  Dot Variable Voltage Auto Transformer 415/0-450V,160A",Nos,0.0,1.0,1.0,0.0,0.0
"Dimmer  Dot Variable Voltage Auto Transformer 415/0-450V,800A",Nos,1.0,1.0,0.0,1.0,74000.0
Dimmer 15AMP (PARMA),Nos,0.0,1.0,1.0,0.0,0.0
Dimmer Coil -40 A Green Dot,NOS,0.0,1.0,1.0,0.0,0.0
"Dimmer Dot Variable Voltage Auto Transformer 415/0-450V,280A",Nos,0.0,1.0,1.0,0.0,0.0
"Dimmer Dot Variable Voltage Auto Transformer 415/0-450V,32A",Nos,0.0,1.0,1.0,0.0,0.0
"Dimmer Dot Variable Voltage Auto Transformer 415/0-450V,40A",Nos,0.0,7.0,7.0,0.0,0.0
Din Connector (8Pin),Nos,10.0,12.0,2.0,10.0,550.0
"DIN Rail Terminal Blocks PT 2,5/S-QUATTRO, Grey -3211019",Nos,16.0,139.0,123.0,16.0,674.72
"DIN Rail Terminal Blocks PT 2,5/S-QUATTRO,BU -3211022",Nos,0.0,51.0,51.0,0.0,0.0
"DIN Rail Terminal Blocks PT 2,5/S-QUATTRO-PE YELLOW GREEN-3211025",Nos,13.0,50.0,37.0,13.0,1707.2900000000002
"DIN Rail Terminal Blocks PTFIX 18X2,5 BN 2.5mm2 slf-assmb MNT-3273318",Nos,16.0,25.0,9.0,16.0,5494.72
"DIN Rail Terminal Blocks PTFIX 18X2,5 BU 2.5mm2 slf-assmb MNT-3273310",Nos,14.0,27.0,13.0,14.0,4144.700000000001
"DIN Rail Terminal Blocks PTFIX 18X2,5 GN 2.5mm2 slf-assmb MNT-3273316",Nos,16.0,25.0,9.0,16.0,5478.88
"DIN Rail Terminal Blocks PTFIX 18X2,5 GY 2.5mm2 slf-assmb MNT-3273308",Nos,22.0,25.0,3.0,22.0,7555.24
"Diode  CDIL, 1N4148",Nos,0.0,5000.0,5000.0,0.0,0.0
"Diode 1.2KV,DO-221AA",Nos,0.0,3.0,3.0,0.0,0.0
Diode 1A 1300V Ultrafast 75ns DO214AC-Vishay BYG23T-M3/TR3,Nos,0.0,2525.0,2525.0,0.0,0.0
Diode 4007 CDIL,Nos,0.0,5000.0,5000.0,0.0,0.0
Diode 4148_T4 SMD,Nos,0.0,100.0,100.0,0.0,0.0
Diode 5408 CDIL,Nos,1250.0,17506.0,16256.0,1250.0,2500.0
Diode A7SMD,Nos,0.0,5000.0,5000.0,0.0,0.0
"Diode CL01-12HV, 12 kV, 350 mA, China",Nos,200.0,250.0,50.0,200.0,5190.400000000001
Diode IN 5062 TR-Vishay,Nos,4000.0,4750.0,750.0,4000.0,40000.0
Diode Schottky 60V 1A-9556761,Nos,0.0,120.0,120.0,0.0,0.0
"Diode Top & Bottom Flanges ,φ(215-300)x35",Nos,0.0,50.0,50.0,0.0,0.0
Diode TVS 1.5KE12CA,Nos,0.0,493.0,493.0,0.0,0.0
Diode TVS 1.5KE13CA,Nos,20.0,25.0,5.0,20.0,827.2
Diode TVS 1.5KE24CA,Nos,0.0,10.0,10.0,0.0,0.0
"Diode TVS 400W ,7/12V, SOT23-2059024",Nos,5.0,10.0,5.0,5.0,800.0
Diode TVS 5KP130CA,Nos,0.0,50.0,50.0,0.0,0.0
